movieId,imdbId,tmdbId,average_rating,budget,runtime,vote_average,vote_count
1,114709,862,3.401869159,30000000,81,7.7,5415
2,113497,8844,3.267857143,65000000,104,6.9,2413
3,113228,15602,3.884615385,0,101,6.5,92
4,114885,31357,3.68902439,16000000,127,6.1,34
5,113041,11862,2.861111111,0,106,5.7,173
6,113277,949,3.9375,60000000,170,7.7,1886
7,114319,11860,3.451612903,58000000,127,6.2,141
8,112302,45325,2.318181818,0,97,5.4,45
9,114576,9091,3.948863636,35000000,106,5.5,174
10,113189,710,3.288461538,58000000,130,6.6,1194
11,112346,9087,2.597826087,62000000,106,6.5,199
12,112896,12110,2.538461538,0,88,5.7,210
13,112453,21032,3.536842105,0,78,7.1,423
14,113987,10858,3.355263158,44000000,192,7.1,72
15,112760,1408,3.044117647,98000000,119,5.7,137
16,112641,524,3.742574257,52000000,178,7.8,1343
17,114388,4584,4.1,16500000,136,7.2,364
18,113101,5,4.083333333,4000000,98,6.5,539
19,112281,9273,3.545454545,30000000,90,6.1,1128
20,113845,11517,2,60000000,103,5.4,224
21,113161,8012,3.333333333,30250000,105,6.4,305
22,112722,1710,4,0,124,6.5,199
23,112401,9691,4,50000000,132,6,394
24,114168,12665,3.689655172,0,111,6.3,143
25,113627,451,2.833333333,3600000,112,7.1,365
26,114057,16420,2.4,0,123,7,33
27,114011,9263,2.025,12000000,100,6.6,91
28,114117,17015,2,0,104,7.4,36
29,112682,902,3.5,18000000,108,7.6,308
30,115012,37557,3.818181818,0,108,6.5,17
31,112792,9909,3.020833333,0,99,6.4,249
32,114746,63,2.428571429,29500000,129,7.4,2470
34,112431,9598,3.026315789,0,50,6.8,4
35,112637,47018,3.333333333,30000000,89,6,756
36,112818,687,4,0,121,6.4,16
37,112286,139405,3.2,11000000,122,7.3,350
38,113442,33689,2.961538462,0,51,3.5,2
39,112697,9603,4.625,0,101,6.1,149
40,112749,34615,3.25,12000000,97,6.9,828
41,114279,31174,3.8,0,106,6.7,13
42,112819,11443,3,0,104,6.9,50
43,114272,35196,4.0625,10000000,119,6.6,80
44,113855,9312,3.764705882,19000000,117,6.3,30
45,114681,577,1.666666667,18000000,101,5.4,452
46,113347,11861,2.891304348,20000000,106,6.7,177
47,114369,807,3.441176471,10000000,116,6.5,38
48,114148,10530,2.227272727,33000000,127,8.1,5915
49,114916,8391,3.177419355,55000000,81,6.7,1509
50,114814,629,1,0,96,5.9,10
52,113819,11448,3,6000000,106,8.1,3334
53,110299,49133,2.75,0,93,6.3,3
54,112499,26441,3.428571429,15000000,95,6.7,145
55,113158,97406,3.882352941,0,116,7.7,11
57,113321,9089,3.292553191,0,100,5.2,41
58,110877,11010,3.114583333,0,115,6.1,15
59,112714,99040,3.462962963,0,89,3,1
60,113419,11359,4,0,103,6.3,39
61,116260,17182,3.945175439,0,108,7.6,181
62,113862,2054,4.224576271,0,100,6.5,2
63,116126,10607,3.295918367,45000000,96,5.9,136
64,118002,19760,3.2,20000000,101,5.8,65
65,115683,9536,3,0,137,6.9,115
66,116839,11525,4.75,0,89,6.2,192
68,113149,4482,2.8,0,96,4.5,14
69,113118,10634,3.8,15000000,88,4.4,110
70,116367,755,3.052631579,0,92,2.8,32
71,113010,11859,4,0,85,5.4,11
72,113537,28387,3,0,95,6,43
73,113828,48750,2.875,3500000,91,7,513
74,115644,20927,3,19000000,108,6.9,1644
76,114367,9102,3.47826087,50000000,91,4.1,54
77,113973,124626,3.580645161,0,96,7,36
78,112744,27526,3.326923077,0,175,6.6,8
79,116731,9623,3.279069767,0,87,5.1,27
80,112445,46785,4.333333333,15000000,90,3.9,16
81,114660,400,3.642857143,20000000,108,6.1,154
82,112379,880,4,0,70,7.3,3
83,114039,146599,4.333333333,0,111,6.1,74
84,113612,188588,3.9025,44000000,118,5.5,91
85,112365,8447,3.833333333,0,85,7.5,20
86,118158,10534,2.782945736,8000000,116,6.7,87
87,116151,17414,3.8125,900000,102,7.2,26
88,115697,13997,3.055555556,0,115,4.5,2
89,113972,2086,3.954545455,0,108,0,0
92,117002,9095,2.870689655,0,118,6.3,17
93,114825,12158,3.83125,38000000,129,6.3,86
94,115639,9283,4.136363636,16000000,88,5.1,59
95,115759,9208,3.515873016,0,87,6,124
96,113403,40154,3.557692308,8169363,90,6.1,190
97,113247,406,3.443661972,0,91,6.7,3
98,111173,45549,4,47000000,104,5.7,77
99,113283,63076,3.11627907,14000000,100,4.5,113
100,115907,11062,2.5625,0,112,6.6,103
101,115734,13685,3.288461538,50000000,108,5.7,459
102,117102,47475,2.572916667,0,99,7.5,6
103,118040,2045,2.564285714,3000000,98,7.9,695
104,116483,9614,2.25,0,105,5.6,13
105,112579,688,3.956521739,0,106,6.8,4
107,117110,10874,2.884615385,0,111,6,67
108,112646,89333,4.7,7000000,91,6.8,285
110,112573,197,3.306818182,0,96,3.3,16
111,75314,103,4.5,18000000,106,5.3,22
112,113326,33542,3.102941176,12000000,92,6.5,767
113,115645,43566,2.875,24000000,135,7.3,397
114,113774,71754,2.833333333,0,104,5.1,5
116,112373,51352,2.314285714,0,100,6.5,93
117,115033,16934,4.291666667,0,95,7,2
118,116606,10324,3.214285714,0,110,0,0
119,114536,78406,2.809090909,72000000,177,7.7,3404
121,106473,32119,3.333333333,1300000,114,8.1,2632
